id,voteStatus,stage,roundName,votingStartDate,votingEndDate,votingOpenedAt,selectedFormation,winners,formations,id.1,venueName,venueCity,venueId,date,homeSquadId,awaySquadId,homeSquadName,awaySquadName,homeSquadAbbr,awaySquadAbbr,homeScore,awayScore,groupName,matchDay,goal_diff,rank,team_id,Team,TeamAbbr,home_Goals,Assists,home_Attempts_at_goal,home_Attempts_on_target,Off_Target_Attempts,home_ConversionRate,home_Attempts_inside_PA,Attemps_Outside_PenaltyArea,home_Headed_attempts,home_xG,xG_Efficiency,Corners,home_Possession,rank_away,team_id_away,Team_away,TeamAbbr_away,away_Goals,Assists_away,away_Attempts_at_goal,away_Attempts_on_target,Off_Target_Attempts_away,away_ConversionRate,away_Attempts_inside_PA,Attemps_Outside_PenaltyArea_away,away_Headed_attempts,away_xG,xG_Efficiency_away,Corners_away,away_Possession,diff_goals_scored,diff_attempts_at_goal,diff_attempts_on_target,diff_conversion_rate,diff_attempts_inside_pa,diff_headed_attempts,diff_xG,diff_possession
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,31,Lincoln Financial Field,"Philadelphia, Pennsylvania",11,2026-06-20T01:30:00+01:00,7,46,Brazil,Haiti,BRA,HAI,3,0,C,2,3,10,7,Brazil,BRA,10,8,73,29,24,14,50,23,11,10.88,0.92,27,48,37,46,Haiti,HAI,2,1,31,7,15,6,16,15,5,1.62,1.24x,9,42,8,42,22,8,34,6,9.260000000000002,6
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,32,Levi's Stadium,"Santa Clara, California",5,2026-06-20T04:00:00+01:00,109,58,Türkiye,Paraguay,TUR,PAR,0,1,D,2,-1,45,109,Tunisia,TUR,2,2,18,6,8,11,6,12,4,1.12,1.78,9,36,32,58,Paraguay,PAR,3,3,35,8,18,9,17,18,4,1.99,1.51x,10,27,-1,-17,-2,2,-11,0,-0.8699999999999999,9
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,33,Nrg Stadium,"Houston, Texas",9,2026-06-20T18:00:00+01:00,54,98,Netherlands,Sweden,NED,SWE,5,1,F,2,4,23,54,Netherlands,NED,11,10,46,22,15,24,35,11,14,5.0,2.2,18,50,22,98,Sweden,SWE,7,6,48,23,18,15,30,18,8,4.66,1.5x,18,43,4,-2,-1,9,5,6,0.33999999999999986,7
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,34,Bmo Field,Toronto,3,2026-06-20T21:00:00+01:00,20,12,Germany,Côte d'Ivoire,GER,CIV,2,1,E,2,1,8,20,Germany,GER,11,10,74,28,26,15,48,26,12,8.64,1.27,34,56,20,12,Cabo Verde,CIV,4,2,49,12,21,8,20,29,6,2.56,1.56x,17,35,7,25,16,7,28,6,6.08,21
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,35,Geha Field At Arrowhead Stadium,"Kansas City, Missouri",16,2026-06-21T01:00:00+01:00,16,14,Ecuador,Curaçao,ECU,CUW,0,0,E,2,0,19,16,Ecuador,ECU,2,2,53,20,26,4,35,18,12,5.88,0.34,25,52,40,14,Curacao,CUW,1,0,29,7,18,3,14,15,4,1.7,0.59x,5,32,1,24,13,1,21,8,4.18,20
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,36,Estadio Bbva,Guadalupe,12,2026-06-21T05:00:00+01:00,108,49,Tunisia,Japan,TUN,JPN,0,4,F,2,-4,11,108,Turkiye,TUN,3,2,70,14,35,4,37,33,7,5.5,0.55,22,58,34,49,Japan,JPN,8,7,32,11,15,25,16,16,5,3.17,2.52x,13,42,-5,38,3,-21,21,2,2.33,16
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,37,Mercedes-benz Stadium,"Atlanta, Georgia",13,2026-06-21T17:00:00+01:00,97,89,Spain,Saudi Arabia,ESP,KSA,4,0,H,2,4,1,97,Spain,ESP,14,10,140,54,59,10,79,61,22,17.48,0.8,54,58,47,89,Saudi Arabia,KSA,1,0,17,8,5,6,8,9,3,1.52,0.66x,7,33,13,123,46,4,71,19,15.96,25
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,38,Sofi Stadium,"Inglewood, California",4,2026-06-21T20:00:00+01:00,5,47,Belgium,IR Iran,BEL,IRN,0,0,G,2,0,5,5,Belgium,BEL,14,10,112,35,43,13,74,38,16,10.62,1.32,24,46,29,47,IR Iran,IRN,3,1,37,10,15,8,26,11,7,4.57,0.66x,8,37,11,75,25,5,48,9,6.049999999999999,9
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,39,Hard Rock Stadium,"Miami Gardens, Florida",15,2026-06-21T23:00:00+01:00,110,8,Uruguay,Cabo Verde,URU,CPV,2,2,H,2,0,20,110,Uruguay,URU,3,1,49,13,25,6,27,22,15,3.95,0.76,26,51,7,8,Canada,CPV,9,3,81,32,29,11,57,24,16,9.02,1x,50,46,-6,-32,-19,-5,-30,-1,-5.069999999999999,5
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,40,Bc Place,Vancouver,8,2026-06-22T02:00:00+01:00,55,17,New Zealand,Egypt,NZL,EGY,1,3,G,2,-2,37,55,New Zealand,NZL,4,3,31,15,8,13,19,12,6,2.48,1.62,10,42,15,17,Egypt,EGY,8,8,67,19,30,12,42,25,10,5.75,1.39x,26,46,-4,-36,-4,1,-23,-4,-3.27,-4
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,41,At&t Stadium,"Arlington, Texas",10,2026-06-22T18:00:00+01:00,2,4,Argentina,Austria,ARG,AUT,2,0,J,2,2,4,2,Argentina,ARG,19,12,115,46,49,17,66,49,22,15.45,1.23,41,53,37,4,Austria,AUT,6,4,31,8,18,19,19,12,7,3.88,1.55x,10,41,13,84,38,-2,47,15,11.57,12
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,42,Lincoln Financial Field,"Philadelphia, Pennsylvania",11,2026-06-22T22:00:00+01:00,19,48,France,Iraq,FRA,IRQ,3,0,I,2,3,2,19,France,FRA,20,18,139,59,59,14,77,62,10,16.78,1.19,51,51,44,48,Iraq,IRQ,1,1,21,2,13,5,12,9,6,2.11,0.47x,7,37,19,118,57,9,65,4,14.670000000000002,14
